content_id,content_type,topic,title_1,title_2,title_3,cover_text,quality_score,risk_level,publish_recommendation,strategy_score,overall_score,strategy_reason,evidence,asset_paths
XHS-20260713-001,家长痛点,孩子应用题看完了，却不知道第一步做什么,孩子卡在应用题，先别急着列算式,应用题第一步：先找这两句话,孩子不会做应用题，先练复述再计算,应用题先别急着算,100,green,publish,96,98.6,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：应用题看不懂 | 教学证明点：应用题拆解方法,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_横版_1920X1080_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_竖版_800X1000_2202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_竖版_800X800_2202601.mp4
XHS-20260713-002,学习方法,数学启蒙先实物、再画图、最后写算式,数学启蒙别急着刷题，先走完这三步,CPA不是术语，家里一支笔就能练,孩子会算但不理解？先试试实物到图形,数学启蒙别急着刷题,94,green,publish,94,94.0,暂无足够自有表现数据，按品牌内容支柱做均衡探索,教学证明点：CPA教学法 | 低龄家长关注点：思维启蒙,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260713-003,误区纠正,辅导作业总崩溃，问题不一定在孩子不会,辅导作业总吵架？先把这句话换掉,孩子写错时，先别问“怎么又错了”,家庭辅导最有用的第一步：请孩子复述,辅导前先少说一句,90,green,publish,93,91.0,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：辅导作业容易崩溃 | 品牌调性：懂孩子的思维老师,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_横版_1920X1080_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_竖版_800X1000_2202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/2026年1月份第二期视频(1)/简体/SL_用户痛点类_安利_简体_粤语_口播_欧莹莹_自己想的_竖版_800X800_2202601.mp4
XHS-20260713-004,家长痛点,孩子计算总粗心，可能是没有看懂数量关系,孩子总粗心，先检查是不是没看懂数字,计算错不一定是粗心：先问这一个问题,孩子把数字看错时，别急着多刷十题,粗心前先检查这一步,100,green,publish,90,96.5,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：计算总粗心 | 产品定位：建立解题模型,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_数学天才_简体_普通话_情景剧_潘文迪_自己想的_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_数学天才_简体_普通话_情景剧_潘文迪_自己想的_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/广点通/无画啦啦/SL_学习效果和成果类_数学天才_简体_普通话_情景剧_潘文迪_自己想的_竖版_720X1280_202601.mp4
XHS-20260713-005,学习方法,家长在家只问3个问题，孩子更愿意讲思路,孩子不肯讲思路？家长只问这3句,别急着讲答案，先让孩子回答这三个问题,亲子陪练的3个提问，能少很多拉扯,这样问，孩子会讲思路,93,green,publish,89,91.6,暂无足够自有表现数据，按品牌内容支柱做均衡探索,产品定位：培养数学思维 | 可持续证明：老师讲解逻辑,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260713-006,误区纠正,数学启蒙不是越早刷题越好,数学启蒙不是提前刷题，先练这两种能力,幼儿数学启蒙：玩明白比算得快更重要,孩子一听数学就躲？先别把启蒙做成练习册,启蒙不是提前刷题,81,green,publish,88,83.4,暂无足够自有表现数据，按品牌内容支柱做均衡探索,低龄家长关注点：兴趣建立 | 教学证明点：动画互动、游戏化闯关,
XHS-20260713-007,案例故事,孩子从猜答案，到愿意说出为什么这样算,孩子会讲“为什么这样算”，比答对更重要,从猜答案到讲思路，家长先记录这三件事,别只夸“答对了”，这一步更值得表扬,会讲思路，比答对更重要,90,green,publish,87,89.0,暂无足够自有表现数据，按品牌内容支柱做均衡探索,高转化方向：孩子终于知道为什么这样算 | 常用证明结构：方法展示,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260713-008,资料领取,3到12岁数学思维观察表：先看4个信号,别只看分数：3到12岁数学思维先看4个信号,孩子数学卡在哪？先做一周观察再选训练,数学思维观察表：家长先记这4件事,数学思维观察表,98,green,publish,86,93.8,暂无足够自有表现数据，按品牌内容支柱做均衡探索,推荐CTA：领取思维题、领取测评 | 高转化方向：不是孩子笨，是没学过思维方法,
XHS-20260713-009,学习方法,应用题拆解的第一步，不是列算式,应用题拆解的第一步，不是列算式,孩子一看到应用题就写算式？先停在这里,应用题先圈条件还是先找问题？顺序别弄反,应用题先找这两句话,90,green,publish,85,88.2,暂无足够自有表现数据，按品牌内容支柱做均衡探索,教学证明点：应用题拆解方法 | 高年级家长关注点：应用题、逻辑,
XHS-20260713-010,家长痛点,孩子一看到数学就说不会，先别急着讲答案,孩子一说“不会”，家长先别急着讲答案,数学抗拒的第一步，往往不是能力问题,孩子遇到难题就放弃？先把目标缩小,孩子说不会时这样做,100,green,publish,84,94.4,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：孩子抗拒数学 | 品牌调性：不高压,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_儿歌教学_简体_普通话_情景剧_谢嘉慧_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_儿歌教学_简体_普通话_情景剧_谢嘉慧_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_抓住思维黄金期_简体_普通话_情景剧_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
